,Titles,Actors,Year_produced,Ratings
0,The Shawshank Redemption,"Frank Darabont (dir.), Tim Robbins, Morgan Freeman",(1994),9.222430406612753
1,The Godfather,"Francis Ford Coppola (dir.), Marlon Brando, Al Pacino",(1972),9.149319628372746
2,The Godfather: Part II,"Francis Ford Coppola (dir.), Al Pacino, Robert De Niro",(1974),8.981419382354375
3,The Dark Knight,"Christopher Nolan (dir.), Christian Bale, Heath Ledger",(2008),8.970837342052292
4,12 Angry Men,"Sidney Lumet (dir.), Henry Fonda, Lee J. Cobb",(1957),8.925949986616434
5,Schindler's List,"Steven Spielberg (dir.), Liam Neeson, Ralph Fiennes",(1993),8.903691280854932
6,The Lord of the Rings: The Return of the King,"Peter Jackson (dir.), Elijah Wood, Viggo Mortensen",(2003),8.8809673674157
7,Pulp Fiction,"Quentin Tarantino (dir.), John Travolta, Uma Thurman",(1994),8.848528745581795
8,"Il buono, il brutto, il cattivo","Sergio Leone (dir.), Clint Eastwood, Eli Wallach",(1966),8.799671415333455
9,The Lord of the Rings: The Fellowship of the Ring,"Peter Jackson (dir.), Elijah Wood, Ian McKellen",(2001),8.773719586664303
10,Fight Club,"David Fincher (dir.), Brad Pitt, Edward Norton",(1999),8.770101861911431
11,Forrest Gump,"Robert Zemeckis (dir.), Tom Hanks, Robin Wright",(1994),8.752281565630344
12,Inception,"Christopher Nolan (dir.), Leonardo DiCaprio, Joseph Gordon-Levitt",(2010),8.718068760862202
13,Star Wars: Episode V - The Empire Strikes Back,"Irvin Kershner (dir.), Mark Hamill, Harrison Ford",(1980),8.702157607102428
14,The Lord of the Rings: The Two Towers,"Peter Jackson (dir.), Elijah Wood, Ian McKellen",(2002),8.696832465615591
15,The Matrix,"Lana Wachowski (dir.), Keanu Reeves, Laurence Fishburne",(1999),8.648283350459634
16,Goodfellas,"Martin Scorsese (dir.), Robert De Niro, Ray Liotta",(1990),8.644186540232168
17,One Flew Over the Cuckoo's Nest,"Milos Forman (dir.), Jack Nicholson, Louise Fletcher",(1975),8.64124059232671
18,Shichinin no samurai,"Akira Kurosawa (dir.), Toshirô Mifune, Takashi Shimura",(1954),8.603974941528808
19,Se7en,"David Fincher (dir.), Morgan Freeman, Brad Pitt",(1995),8.592561124755983
20,Cidade de Deus,"Fernando Meirelles (dir.), Alexandre Rodrigues, Leandro Firmino",(2002),8.582284598507288
21,La vita è bella,"Roberto Benigni (dir.), Roberto Benigni, Nicoletta Braschi",(1997),8.581865588491494
22,The Silence of the Lambs,"Jonathan Demme (dir.), Jodie Foster, Anthony Hopkins",(1991),8.57455178966173
23,It's a Wonderful Life,"Frank Capra (dir.), James Stewart, Donna Reed",(1946),8.571627120908945
